# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1275054667;1346086945;1;1;1;4294967268
1275054667;1346086945;2;1;1;3951
1275054667;1346086945;3;1;1;1157
1275054667;1346086945;4;4;2;95158
1275054667;1346086945;5;1;1;254
1275056231;1346086945;1;1;1;0
1275056231;1346086945;2;1;1;3934
1275056231;1346086945;3;1;1;1140
1275056231;1346086945;4;4;2;95177
1275056231;1346086945;5;1;1;254
1275056445;1346086945;1;1;1;2
1275056445;1346086945;2;1;1;3936
1275056445;1346086945;3;1;1;1142
1275056445;1346086945;4;4;2;95175
1275056445;1346086945;5;1;1;254
1275056630;1346086945;1;1;1;2
1275056630;1346086945;2;1;1;3937
1275056630;1346086945;3;1;1;1143
1275056630;1346086945;4;4;2;95173
1275056630;1346086945;5;1;1;254
1275057830;1346086945;1;1;1;11
1275057830;1346086945;2;1;1;3951
1275057830;1346086945;3;1;1;1157
1275057830;1346086945;4;4;2;95158
1275057830;1346086945;5;1;1;254
1275058031;1346086945;1;1;1;11
1275058031;1346086945;2;1;1;3952
1275058031;1346086945;3;1;1;1158
1275058031;1346086945;4;4;2;95156
1275058031;1346086945;5;1;1;254
1275058265;1346086945;1;1;1;11
1275058265;1346086945;2;1;1;3955
1275058265;1346086945;3;1;1;1161
1275058265;1346086945;4;4;2;95153
1275058265;1346086945;5;1;1;254
1275059231;1346086945;1;1;1;4
1275059231;1346086945;2;1;1;3952
1275059231;1346086945;3;1;1;1158
1275059231;1346086945;4;4;2;95156
1275059231;1346086945;5;1;1;254
1275059466;1346086945;1;1;1;4
1275059468;1346086945;2;1;1;3950
1275059468;1346086945;3;1;1;1156
1275059468;1346086945;4;4;2;95159
